CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14967.31256,16.59410335,760660.3607,-251441.5935,1.496731256,0.829705167,7.606603607,-2.514415935,10000,20,100000,100000
TIE 10 TIE 21,1,14866.35132,17.59725481,825971.8007,-201263.0061,1.486635132,0.87986274,8.259718007,-2.012630061,10000,20,100000,100000
TIE 10 TIE 21,1,14864.20695,16.85683043,794885.8436,-221131.556,1.486420695,0.842841521,7.948858436,-2.21131556,10000,20,100000,100000
TIE 10 TIE 21,1,14972.64231,16.85973137,772779.2675,-266812.2476,1.497264231,0.842986568,7.727792675,-2.668122476,10000,20,100000,100000
TIE 10 TIE 21,1,14967.03586,16.60778468,755224.3502,-282013.6209,1.496703586,0.830389234,7.552243502,-2.820136209,10000,20,100000,100000
TIE 10 TIE 21,1,14971.42157,17.06909976,780495.5837,-265480.1442,1.497142157,0.853454988,7.804955837,-2.654801442,10000,20,100000,100000
TIE 10 TIE 21,1,14755.0862,24.7732449,1109752.995,-355307.1054,1.47550862,1.238662245,11.09752995,-3.553071054,10000,20,100000,100000
TIE 10 TIE 21,1,14729.64199,24.72713796,1116843.632,-330233.0233,1.472964199,1.236356898,11.16843632,-3.302330233,10000,20,100000,100000
TIE 10 TIE 21,1,14730.63465,24.7803976,1120318.357,-330755.4763,1.473063465,1.23901988,11.20318357,-3.307554763,10000,20,100000,100000
TIE 10 TIE 21,1,14687.07489,25.19321357,1144726.066,-315274.2345,1.468707489,1.259660679,11.44726066,-3.152742345,10000,20,100000,100000
TIE 10 TIE 21,1,14741.62723,24.26618557,1093716.091,-320517.933,1.474162723,1.213309279,10.93716091,-3.20517933,10000,20,100000,100000
TIE 10 TIE 21,1,14640.88932,25.1894153,1150968.103,-276390.8627,1.464088932,1.259470765,11.50968103,-2.763908627,10000,20,100000,100000
TIE 10 TIE 21,1,14711.23272,24.97308604,1132934.005,-316478.4438,1.471123272,1.248654302,11.32934005,-3.164784438,10000,20,100000,100000
TIE 10 TIE 21,1,14774.87146,24.44177868,1096508.359,-354912.717,1.477487146,1.222088934,10.96508359,-3.54912717,10000,20,100000,100000
