Type,Voltage Self Open,Voltage Neigh Open,Current Self Open,Current Neigh Open,Power Self Open,Power Neigh Open,Reactive Power Self Open,Reactive Power Neigh Open,Sample
Open,2201.223874,1904.43914,0.002199798,144.2317146,0.356725522,1204.072451,-3.18E-04,-6.06E-09,75
Open,2203.284148,1906.451348,0.002201875,144.2555066,0.356823017,1204.357314,-3.19E-04,-1.74E-09,76
Open,2205.337646,1908.458734,0.002203946,144.2786105,0.356920004,1204.651682,-3.19E-04,1.19E-09,77
Open,2207.381217,1910.459259,0.002206007,144.3012242,0.357017302,1204.964881,-3.20E-04,-1.32E-08,78
Open,2209.426309,1912.460399,0.00220807,144.3255573,0.357114059,1205.253985,-3.21E-04,-2.34E-09,79
Open,2211.51435,1914.498988,0.002210177,144.3489599,0.357211651,1205.54022,-3.21E-04,-7.84E-09,80
Open,2213.585106,1916.524238,0.002212266,144.3723828,0.357309295,1205.838811,-3.21E-04,-4.78E-10,81
Open,2215.633463,1918.529301,0.002214333,144.3969351,0.357406282,1206.129105,-3.22E-04,6.53E-09,82
Open,2217.715267,1920.566646,0.002216434,144.4191557,0.357503872,1206.442137,-3.22E-04,1.60E-09,83
Open,2219.784241,1922.591372,0.002218522,144.4434713,0.357601057,1206.735665,-3.22E-04,-1.46E-09,84
Open,2221.875065,1924.636526,0.002220633,144.4665514,0.35769875,1207.033584,-3.23E-04,-1.46E-09,85
Open,2223.951934,1926.668603,0.00222273,144.491388,0.357795869,1207.322288,-3.23E-04,-4.65E-09,86
Open,2226.060725,1928.729924,0.002224858,144.5149154,0.357893628,1207.609568,-3.23E-04,-7.62E-10,87
Open,2228.165779,1930.788797,0.002226984,144.5384066,0.357991383,1207.907499,-3.23E-04,6.34E-09,88
Open,2230.254908,1932.835702,0.002229093,144.561424,0.358089179,1208.222403,-3.23E-04,1.06E-08,89
Open,2232.356343,1934.891906,0.002231216,144.5858276,0.358186871,1208.51478,-3.23E-04,-2.38E-09,90
